time,open,high,low,close,tick_volume,spread,real_volume,pct_change,target
1988-05-10,1.1652,1.1655,1.1648,1.1651,131,50,0,0.0015473222728445979,1
1988-05-11,1.1658,1.1658,1.1655,1.1658,61,50,0,0.0006008067976996934,1
1988-05-12,1.1643,1.1647,1.163,1.164,311,50,0,-0.0015440041173443442,-1
1988-05-13,1.1628,1.1641,1.1617,1.1628,481,50,0,-0.0010309278350514317,-1
1988-05-16,1.1584,1.1597,1.1581,1.1587,291,50,0,-0.0035259717922256906,-1
1988-05-17,1.1473,1.1474,1.1473,1.1473,21,50,0,-0.009838612237852873,-1
1988-05-18,1.1466,1.1466,1.1466,1.1466,1,50,0,-0.0006101281269065284,-1
1988-05-19,1.1505,1.151,1.1501000000000001,1.1504,171,50,0,0.003314146171289112,1
1988-05-20,1.1482999999999999,1.1485,1.1482999999999999,1.1484,31,50,0,-0.001738525730180851,-1
1988-05-23,1.1491,1.1496,1.1482999999999999,1.149,251,50,0,0.0005224660397074032,1
1988-05-24,1.1493,1.1509,1.1485,1.1493,481,50,0,0.00026109660574413773,1
1988-05-25,1.1471,1.1482999999999999,1.1463,1.147,391,50,0,-0.002001218132776428,-1
1988-05-26,1.1464,1.1485,1.145,1.1463,691,50,0,-0.0006102877070618407,-1
1988-05-27,1.1391,1.1412,1.138,1.1393,621,50,0,-0.006106603855884241,-1
1988-05-31,1.1319,1.1335,1.1309,1.1320999999999999,501,50,0,-0.0063196699727904315,-1
1988-06-01,1.1341,1.135,1.1334,1.134,311,50,0,0.0016782969702322514,1
1988-06-02,1.1332,1.1338,1.1314,1.1328,441,50,0,-0.0010582010582009804,-1
1988-06-03,1.1332,1.1343,1.1325,1.1332,361,50,0,0.0003531073446327859,1
1988-06-06,1.1383,1.139,1.1374,1.1387,281,50,0,0.0048535121779034185,1
1988-06-07,1.1405,1.1414,1.1402,1.1406,231,50,0,0.0016685694212699165,1
1988-06-08,1.1386,1.1396,1.1381999999999999,1.1384,261,50,0,-0.0019288093985621035,-1
1988-06-09,1.1367,1.137,1.1360999999999999,1.1367,181,50,0,-0.0014933239634574713,-1
1988-06-10,1.1377,1.1384,1.1373,1.1377,221,50,0,0.0008797395970792099,1
1988-06-13,1.1336,1.1336,1.1336,1.1336,1,50,0,-0.0036037619759162753,-1
1988-06-14,1.1208,1.1239,1.1194,1.1207,891,50,0,-0.011379675370500997,-1
1988-06-15,1.1157,1.1165,1.1154,1.1158,211,50,0,-0.004372267332917068,-1
1988-06-16,1.1166,1.1199,1.115,1.1164,961,50,0,0.0005377307761249561,1
1988-06-17,1.1155,1.1157,1.1148,1.1156,171,50,0,-0.0007165890361878757,-1
1988-06-20,1.1121,1.1143,1.1112,1.112,611,50,0,-0.0032269630692002282,-1
1988-06-21,1.1132,1.1134,1.1124,1.1129,171,50,0,0.0008093525179855288,1
1988-06-22,1.1009,1.103,1.0995,1.1006,671,50,0,-0.011052205948423044,-1
1988-06-23,1.0944,1.095,1.0937000000000001,1.0947,231,50,0,-0.005360712338724372,-1
1988-06-24,1.0811,1.0888,1.0776,1.0814,2211,50,0,-0.01214944733717005,-1
1988-06-27,1.075,1.0754,1.0734,1.0748,381,50,0,-0.006103199556130923,-1
1988-06-28,1.0825,1.0861,1.0813,1.0825,961,50,0,0.007164123557871216,1
1988-06-29,1.0704,1.0725,1.069,1.0702,681,50,0,-0.011362586605080827,-1
1988-06-30,1.0762,1.0762,1.0752,1.0762,201,50,0,0.005606428704914901,1
1988-07-01,1.0738,1.0743,1.0731,1.0741,211,50,0,-0.0019513101653967357,-1
1988-07-05,1.0724,1.0724,1.0724,1.0724,1,50,0,-0.0015827204170933973,-1
